144.044169,-40.72642021
144.2684564,-41.59553374
144.4927437,-41.70767742
144.6048874,-42.49268319
144.9132825,-42.77304239
145.2216777,-42.91322199
145.2216777,-43.27768895
146.1188271,-43.38983264
146.2309708,-43.81037144
146.6234737,-43.83840736
146.847761,-43.50197632
147.1281202,-43.27768895
147.3804435,-43.30572487
147.7729464,-43.13750935
148.0252697,-42.80107831
148.277593,-42.49268319
148.277593,-41.93196478
148.1934852,-40.83856389
148.3056289,-40.50213285
148.0252697,-40.13766589
147.3524076,-40.33391733
147.0159766,-40.67034837
145.7543601,-40.67034837
145.6141805,-40.30588141
145.0254262,-40.08159405
144.2964923,-40.16570181
144.044169,-40.72642021
