Object Category,Object Type,,
point,179.6156873,69.42429529,0
point,180.8531392,69.48942434,0
point,181.1787845,69.03352099,0
point,182.2859783,68.96839194,0
point,182.7418816,68.57761765,0
point,184.3701079,68.2519724,0
point,184.7608822,67.2099076,0
point,185.0213984,67.92632715,0
point,186.7147537,67.66581095,0
point,188.5383671,67.27503665,0
point,188.7337542,66.88426236,0
point,189.6455609,66.55861711,0
point,189.2547866,66.03758471,0
point,188.2127218,65.97245566,0
point,187.2357861,65.97245566,0
point,186.9752699,65.06064897,0
point,187.7568185,64.53961657,0
point,189.1896576,64.34422942,0
point,189.71069,63.88832608,0
point,190.4922385,63.69293893,0
point,189.775819,63.17190653,0
point,188.0824637,63.56268083,0
point,187.105528,64.40935847,0
point,186.7147537,64.80013277,0
point,185.9332051,64.66987467,0
point,185.2819146,64.47448752,0
point,184.7608822,65.12577802,0
point,183.7839464,65.12577802,0
point,183.3931721,65.58168137,0
point,182.8721397,66.03758471,0
point,181.0485264,66.10271376,0
point,180.8531392,66.62374616,0
point,180.0064616,66.36322996,0
point,179.6156873,65.58168137,0
point,179.6592671,65.54330051,0
point,178.9428475,65.15252622,0
point,177.9007827,65.08739717,0
point,175.5561369,65.02226812,0
point,176.5982017,64.76175192,0
point,177.9659118,64.50123572,0
point,178.4218151,63.84994523,0
point,178.7474604,63.65455808,0
point,179.529009,63.00326758,0
point,178.8125894,62.48223518,0
